Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
追悼 (n),追悼,,notion,2,0,2,2,0,2,0.019968,10,0.198035,0.211846,230.699393
闭幕 (n),闭幕,,notion,1,0,1,1,0,1,0.013403,10,0.19578,0.208439,0
罗稷南(1945),罗稷南,,author,0,9,9,0,9,9,0.010583,11,0.156023,0.16511,15517.607854
一角 (n),一角,,notion,1,0,1,1,0,1,0.002477,12,0.134973,0.140158,0
人格 (n),人格,,notion,1,0,1,1,0,1,0.002477,12,0.134973,0.140158,0
卑下 (n),卑下,,notion,1,0,1,1,0,1,0.002477,12,0.134973,0.140158,0
爆仗 (n),爆仗,,notion,1,0,1,1,0,1,0.002477,12,0.134973,0.140158,0
监狱 (n),监狱,,notion,1,0,1,1,0,1,0.002477,12,0.134973,0.140158,0
财产 (n),财产,,notion,1,0,1,1,0,1,0.002477,12,0.134973,0.140158,0
搁浅 (n),搁浅,,notion,1,0,1,1,0,1,0.004892,10,0.176586,0.184817,0
枪声 (n),枪声,,notion,1,0,1,1,0,1,0.004892,10,0.176586,0.184817,0
渡过 (n),渡过,,notion,1,0,1,1,0,1,0.004892,10,0.176586,0.184817,0
风雨 (n),风雨,,notion,1,0,1,1,0,1,0.004892,10,0.176586,0.184817,0
罗贝慈(1945),罗贝慈,,author,0,4,4,0,4,4,0.019616,9,0.201465,0.213319,2638.336232
一筹 (n),一筹,,notion,1,0,1,1,0,1,0.019892,8,0.207933,0.220988,0
动向 (n),动向,,notion,2,0,2,2,0,2,0.027228,8,0.215087,0.228821,189.121315
津沽 (n),津沽,,notion,1,0,1,1,0,1,0.019892,8,0.207933,0.220988,0
第三个 (n),第三个,,notion,1,0,1,1,0,1,0.019892,8,0.207933,0.220988,0
路程遥远 (n),路程遥远,,notion,1,0,1,1,0,1,0.019892,8,0.207933,0.220988,0
翁文灏(1945),翁文灏,,author,0,2,2,0,2,2,0.00683,9,0.185659,0.194955,2337
光华 (n),光华,,notion,1,0,1,1,0,1,0.001334,10,0.156597,0.162085,0
翁逸之(1945),翁逸之,,author,0,4,4,0,4,4,0.003715,1,1,1,6
丧家之犬 (n),丧家之犬,,notion,1,0,1,1,0,1,0.001412,2,0.571429,0.625,0
彼一时 (n),彼一时,,notion,1,0,1,1,0,1,0.001412,2,0.571429,0.625,0
摇身一变 (n),摇身一变,,notion,1,0,1,1,0,1,0.001412,2,0.571429,0.625,0
此一时 (n),此一时,,notion,1,0,1,1,0,1,0.001412,2,0.571429,0.625,0
翦伯赞(1945),翦伯赞,,author,0,18,18,0,18,18,0.091959,9,0.230504,0.253235,33075.759725
与术力 (n),与术力,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
两汉 (n),两汉,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
之义 (n),之义,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
停止 (n),停止,,notion,2,0,2,2,0,2,0.036563,10,0.212933,0.229653,1040.008706
学暴 (n),学暴,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
宫廷 (n),宫廷,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
尚书 (n),尚书,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
常德 (n),常德,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
明史 (n),明史,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
春秋 (n),春秋,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
桃源 (n),桃源,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
永历 (n),永历,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
立即 (n),立即,,notion,1,0,1,1,0,1,0.008483,10,0.18734,0.198275,0
耀羣(1945),耀羣,,author,0,2,2,0,2,2,0.044272,9,0.222476,0.239246,219.358551
老圣(1945),老圣,,author,0,3,3,0,3,3,0.016581,9,0.198119,0.209167,2372.621439
经过 (n),经过,,notion,1,0,1,1,0,1,0.002127,10,0.16537,0.171521,0
老舍(1945),老舍,,author,0,2,2,0,2,2,0.010034,9,0.194687,0.204389,2337
荣誉 (n),荣誉,,notion,1,0,1,1,0,1,0.001516,10,0.162972,0.168546,0
耿介怀(1945),耿介怀,,author,0,6,6,0,6,6,0.007712,11,0.167443,0.176576,9659.368192
参谋 (n),参谋,,notion,1,0,1,1,0,1,0.001931,12,0.143436,0.148783,0
变革 (n),变革,,notion,1,0,1,1,0,1,0.001931,12,0.143436,0.148783,0
本部 (n),本部,,notion,1,0,1,1,0,1,0.001931,12,0.143436,0.148783,0
登台 (n),登台,,notion,1,0,1,1,0,1,0.001931,12,0.143436,0.148783,0
耿济之(1945),耿济之,,author,0,3,3,0,3,3,0.018987,9,0.19971,0.211523,2392.371858
素描 (n),素描,,notion,1,0,1,1,0,1,0.00219,10,0.166477,0.17303,0
肇世(1945),肇世,,author,0,5,5,0,5,5,0.032633,9,0.207398,0.221664,7255.353464
人材 (n),人材,,notion,1,0,1,1,0,1,0.003355,10,0.171785,0.179338,0
做个 (n),做个,,notion,1,0,1,1,0,1,0.003355,10,0.171785,0.179338,0
技术 (n),技术,,notion,1,0,1,1,0,1,0.003355,10,0.171785,0.179338,0
梁是 (n),梁是,,notion,1,0,1,1,0,1,0.001882,12,0.139615,0.145114,0
欧风东渐 (n),欧风东渐,,notion,1,0,1,1,0,1,0.001882,12,0.139615,0.145114,0
维新 (n),维新,,notion,1,0,1,1,0,1,0.001882,12,0.139615,0.145114,0
肯明斯(1945),肯明斯,,author,0,2,2,0,2,2,0.032067,9,0.213341,0.227414,1605.215752
一醒 (n),一醒,,notion,1,0,1,1,0,1,0.003525,10,0.170284,0.177944,0
公路 (n),公路,,notion,2,0,2,2,0,2,0.005135,10,0.170309,0.178229,101.676765
冬讯 (n),冬讯,,notion,1,0,1,1,0,1,0.003525,10,0.170284,0.177944,0
通车 (n),通车,,notion,2,0,2,2,0,2,0.005135,10,0.170309,0.178229,101.676765
首次 (n),首次,,notion,2,0,2,2,0,2,0.005135,10,0.170309,0.178229,101.676765
胡大庆(1945),胡大庆,,author,0,3,3,0,3,3,0.003183,11,0.157176,0.164197,4673
贪污 (n),贪污,,notion,1,0,1,1,0,1,0.001262,12,0.135835,0.14024,0
铲除 (n),铲除,,notion,1,0,1,1,0,1,0.001262,12,0.135835,0.14024,0
胡思濂(1945),胡思濂,,author,0,2,2,0,2,2,0.001782,1,1,1,1
家报 (n),家报,,notion,1,0,1,1,0,1,0.00105,2,0.666667,0.75,0
斗士 (n),斗士,,notion,1,0,1,1,0,1,0.00105,2,0.666667,0.75,0
传统 (n),传统,,notion,1,0,1,1,0,1,0.009138,10,0.189128,0.199952,0
急进 (n),急进,,notion,1,0,1,1,0,1,0.009138,10,0.189128,0.199952,0
特征 (n),特征,,notion,2,0,2,2,0,2,0.02402,10,0.209648,0.222961,305.949336
