Id,Label,type,color,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
补齐,补齐,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
袁国弼,袁国弼,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
袁非愚,袁非愚,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
裘审行,裘审行,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
裘思,裘思,author,"#B4B4B4",125,268,0.038829,3,0.495777,0.507755,4.526667
裘文静,裘文静,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
见仁,见仁,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
许寂,许寂,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
许小花,许小花,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
许少甫,许少甫,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
许文静,许文静,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
许斐,许斐,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
许明,许明,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
许由,许由,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
谔士,谔士,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
谢南阳,谢南阳,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
谢菁,谢菁,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
谢静安,谢静安,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
谷新,谷新,author,"#B4B4B4",230,1332,0.031809,3,0.494095,0.51551,0
谷方,谷方,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
谷林歌,谷林歌,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
费吴炯,费吴炯,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
费正清,费正清,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
贺明,贺明,author,"#B4B4B4",121,180,0.037716,3,0.495527,0.507246,0
贺毅,贺毅,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
贾子心,贾子心,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
贾才,贾才,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
贾观仁,贾观仁,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
赵瑞生,赵瑞生,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
赵超构,赵超构,author,"#B4B4B4",1152,2814,0.670348,2,0.585791,0.646453,15567.127775
赵迺抟,赵迺抟,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
越人,越人,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
路维宽,路维宽,author,"#B4B4B4",371,966,0.105897,2,0.52475,0.547165,0
过客,过客,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
进一,进一,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
远云岚,远云岚,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
远清,远清,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
迟玉,迟玉,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
透云,透云,author,"#B4B4B4",86,154,0.006091,3,0.429554,0.452623,0
遇之,遇之,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
道行,道行,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
邑文,邑文,author,"#B4B4B4",121,180,0.037716,3,0.495527,0.507246,0
邓钜经,邓钜经,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
邢慕寰,邢慕寰,author,"#B4B4B4",141,279,0.028667,3,0.458285,0.481609,0
邱克勤,邱克勤,author,"#B4B4B4",409,1482,0.110141,2,0.527424,0.551996,0
邱吾,邱吾,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
邵循道,邵循道,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
邵景圆,邵景圆,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
邵燕平,邵燕平,author,"#B4B4B4",532,1052,0.207383,2,0.536269,0.567633,0
邵燕祥,邵燕祥,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
郑义,郑义,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
郑伯彬,郑伯彬,author,"#B4B4B4",258,547,0.062739,3,0.504231,0.524663,1812.779713
郑侠,郑侠,author,"#B4B4B4",758,1332,0.577693,3,0.544812,0.59166,0
郑克修,郑克修,author,"#B4B4B4",230,446,0.031809,3,0.494095,0.51551,0
郑春泉,郑春泉,author,"#B4B4B4",215,666,0.016471,3,0.455577,0.485719,0
郑若颖,郑若颖,author,"#B4B4B4",320,1226,0.04853,3,0.507484,0.532037,0
