Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
天坛,天坛,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
天字第一号,天字第一号,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
天桥,天桥,notion,"#FFFF00",0,2,2,0,2,2,0.016075,4,0.288369,0.316527,1653.100903
天津,天津,notion,"#FFFF00",0,10,10,0,13,13,0.064282,4,0.39436,0.433341,49858.509253
天津人,天津人,notion,"#FFFF00",0,1,1,0,1,1,0.012494,4,0.283198,0.308574,0
天涯,天涯,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
天窗,天窗,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
太太,太太,notion,"#FFFF00",0,1,1,0,1,1,0.004463,4,0.259973,0.269142,0
太少,太少,notion,"#FFFF00",0,2,2,0,2,2,0.018665,4,0.298002,0.33054,2836.713434
太平,太平,notion,"#FFFF00",0,5,5,0,7,7,0.048748,4,0.370115,0.412384,25023.234216
太息,太息,notion,"#FFFF00",0,1,1,0,1,1,0.006171,4,0.266197,0.280385,0
太湖,太湖,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
夫人,夫人,notion,"#FFFF00",0,8,8,0,11,11,0.062547,4,0.405405,0.441899,51331.145587
夫妇,夫妇,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
夫子自道,夫子自道,notion,"#FFFF00",0,1,1,0,1,1,0.005285,4,0.262245,0.273309,0
头等,头等,notion,"#FFFF00",0,1,1,0,2,2,0.006099,4,0.264467,0.277312,0
奇迹,奇迹,notion,"#FFFF00",0,2,2,0,2,2,0.015324,4,0.288353,0.316504,2401.617824
奉化,奉化,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
奋门,奋门,notion,"#FFFF00",0,1,1,0,1,1,0.006099,4,0.264467,0.277312,0
奏演,奏演,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
女人,女人,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
女士,女士,notion,"#FFFF00",0,2,2,0,4,4,0.019775,4,0.299214,0.332239,2302.815633
女性,女性,notion,"#FFFF00",0,1,1,0,2,2,0.006171,4,0.266197,0.280385,0
奴才,奴才,notion,"#FFFF00",0,4,4,0,4,4,0.023982,4,0.304353,0.33937,5929.934066
奴隶制,奴隶制,notion,"#FFFF00",0,1,1,0,1,1,0.002872,4,0.256349,0.262345,0
好像,好像,notion,"#FFFF00",0,3,3,0,3,3,0.018947,4,0.292787,0.323107,3418.77087
好战,好战,notion,"#FFFF00",0,3,3,0,5,5,0.021465,4,0.298599,0.331417,3440.66035
好转,好转,notion,"#FFFF00",0,2,2,0,3,3,0.015366,4,0.287982,0.315945,1301.441122
如今,如今,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
如是,如是,notion,"#FFFF00",0,4,4,0,4,4,0.037363,4,0.340024,0.382457,13611.724679
如是我闻,如是我闻,notion,"#FFFF00",0,2,2,0,3,3,0.011135,4,0.276334,0.297649,500.825159
妄想,妄想,notion,"#FFFF00",0,1,1,0,1,1,0.003103,4,0.257024,0.263625,0
妓女,妓女,notion,"#FFFF00",0,1,1,0,1,1,0.00728,4,0.268473,0.284365,0
妖言,妖言,notion,"#FFFF00",0,1,1,0,1,1,0.009476,4,0.274301,0.294258,0
委会,委会,notion,"#FFFF00",0,2,2,0,2,2,0.02197,4,0.304008,0.338827,2312.117782
委及,委及,notion,"#FFFF00",0,1,1,0,1,1,0.004463,4,0.259973,0.269142,0
