Id,Label,type,type2,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,color
张西超,张西超,author,author,0,2,2,0,3,3,0.013717,6,0.261552,0.272358,54790.968719,"#B4B4B4"
张铁生,张铁生,author,author,0,5,5,0,15,15,0.039413,4,0.281212,0.30563,52846.006652,"#B4B4B4"
张锡昌,张锡昌,author,author,0,2,2,0,3,3,0.01472,4,0.26194,0.272758,14082.866289,"#B4B4B4"
彭泽民,彭泽民,author,author,0,3,3,0,4,4,0.023192,6,0.264821,0.282517,11362.133502,"#B4B4B4"
彼得洛夫,彼得洛夫,author,author,0,1,1,0,6,6,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
徐寅初,徐寅初,author,author,0,1,1,0,2,2,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
怀湘,怀湘,author,author,0,3,3,0,24,24,0.041181,4,0.284209,0.310205,26261.898276,"#B4B4B4"
怀瑾,怀瑾,author,author,0,1,1,0,2,2,0.004197,6,0.252074,0.256145,0,"#B4B4B4"
思粤,思粤,author,author,0,2,2,0,3,3,0.028088,6,0.273233,0.292789,10011.654806,"#B4B4B4"
戴镏龄,戴镏龄,author,author,0,1,1,0,7,7,0.016708,6,0.261497,0.274576,0,"#B4B4B4"
拉斯基,拉斯基,author,author,0,3,3,0,9,9,0.024605,6,0.271056,0.289171,74561.516148,"#B4B4B4"
文安,文安,author,author,0,1,1,0,2,2,0.013032,6,0.258164,0.269359,0,"#B4B4B4"
文幼章,文幼章,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
斯维尔特洛夫,斯维尔特洛夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
昆明一记者,昆明一记者,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
普森,普森,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
曾彦修,曾彦修,author,author,0,1,1,0,2,2,0.013032,6,0.258164,0.269359,0,"#B4B4B4"
木天,木天,author,author,0,1,1,0,2,2,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
李俞,李俞,author,author,0,3,3,0,4,4,0.028876,4,0.273717,0.293347,18731.14324,"#B4B4B4"
李启,李启,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
李存傑,李存傑,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
李广田,李广田,author,author,0,3,3,0,11,11,0.021338,6,0.263429,0.278195,3448.247726,"#B4B4B4"
李浩培,李浩培,author,author,0,4,4,0,7,7,0.024132,6,0.265847,0.282259,10144.35661,"#B4B4B4"
李清悚,李清悚,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
李瑛,李瑛,author,author,0,2,2,0,4,4,0.015826,6,0.261977,0.274947,34133.737977,"#B4B4B4"
杜守素,杜守素,author,author,0,2,2,0,3,3,0.011271,4,0.259139,0.267599,3034.863566,"#B4B4B4"
杜律斯,杜律斯,author,author,0,1,1,0,2,2,0.006219,6,0.252022,0.258741,0,"#B4B4B4"
杨增福,杨增福,author,author,0,1,1,0,2,2,0.004197,6,0.252074,0.256145,0,"#B4B4B4"
杨宁,杨宁,author,author,0,1,1,0,2,2,0.004197,6,0.252074,0.256145,0,"#B4B4B4"
杨弘,杨弘,author,author,0,1,1,0,3,3,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
杨毓滋,杨毓滋,author,author,0,1,1,0,2,2,0.006219,6,0.252022,0.258741,0,"#B4B4B4"
林慧,林慧,author,author,0,1,1,0,2,2,0.00162,6,0.244736,0.248164,0,"#B4B4B4"
林砺儒,林砺儒,author,author,0,2,2,0,4,4,0.01472,4,0.26194,0.272758,14082.866289,"#B4B4B4"
林莽,林莽,author,author,0,2,2,0,4,4,0.016955,4,0.263879,0.276264,5049.521181,"#B4B4B4"
林萼,林萼,author,author,0,1,1,0,2,2,0.002538,6,0.23182,0.2396,0,"#B4B4B4"
林间,林间,author,author,0,1,1,0,2,2,0.013032,6,0.258164,0.269359,0,"#B4B4B4"
柯席夫尼柯夫,柯席夫尼柯夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
柳梢月,柳梢月,author,author,0,1,1,0,2,2,0.013032,6,0.258164,0.269359,0,"#B4B4B4"
梁筱中,梁筱中,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
梁香,梁香,author,author,0,1,1,0,33,33,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
梁鼎,梁鼎,author,author,0,1,1,0,2,2,0.013032,6,0.258164,0.269359,0,"#B4B4B4"
梅滨,梅滨,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
梅郎,梅郎,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
欧阳山尊,欧阳山尊,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
武子,武子,author,author,0,1,1,0,2,2,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
毛以亨,毛以亨,author,author,0,1,1,0,11,11,0.006219,6,0.252022,0.258741,0,"#B4B4B4"
毛起__,毛起__,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
水夫,水夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
求思诀,求思诀,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
江峰,江峰,author,author,0,1,1,0,2,2,0.003907,6,0.215879,0.228633,0,"#B4B4B4"
江洋,江洋,author,author,0,1,1,0,2,2,0.013032,6,0.258164,0.269359,0,"#B4B4B4"
江苇,江苇,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
沈燕谋,沈燕谋,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
波浪,波浪,author,author,0,1,1,0,3,3,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
波美朗采夫,波美朗采夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
泰勒,泰勒,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
洛如,洛如,author,author,0,1,1,0,3,3,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
洪遒,洪遒,author,author,0,3,3,0,5,5,0.033037,4,0.276473,0.297898,15481.047241,"#B4B4B4"
浮天,浮天,author,author,0,1,1,0,2,2,0.002337,6,0.233602,0.241207,0,"#B4B4B4"
海啸,海啸,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
湘文,湘文,author,author,0,1,1,0,2,2,0.008733,6,0.25709,0.264008,0,"#B4B4B4"
潘星照,潘星照,author,author,0,1,1,0,5,5,0.003907,6,0.215879,0.228633,0,"#B4B4B4"
特莱依宁,特莱依宁,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
狄超白,狄超白,author,author,0,4,4,0,6,6,0.033583,4,0.278278,0.300888,42318.370993,"#B4B4B4"
王知白,王知白,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
瑜伽,瑜伽,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
甘杜,甘杜,author,author,0,1,1,0,2,2,0.004197,6,0.252074,0.256145,0,"#B4B4B4"
田水,田水,author,author,0,1,1,0,2,2,0.00321,6,0.247877,0.251953,0,"#B4B4B4"
田汝康,田汝康,author,author,0,2,2,0,9,9,0.022927,6,0.269421,0.286316,19169.114768,"#B4B4B4"
申公,申公,author,author,0,2,2,0,3,3,0.017271,4,0.263317,0.275253,2309.528993,"#B4B4B4"
白浪,白浪,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
盛胜,盛胜,author,author,0,1,1,0,3,3,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
石仁,石仁,author,author,0,1,1,0,2,2,0.004197,6,0.252074,0.256145,0,"#B4B4B4"
石挥,石挥,author,author,0,1,1,0,2,2,0.008222,6,0.255285,0.262075,0,"#B4B4B4"
祁文英,祁文英,author,author,0,2,2,0,4,4,0.028798,6,0.27237,0.292524,5750.501219,"#B4B4B4"
祝唯一,祝唯一,author,author,0,1,1,0,2,2,0.003907,6,0.215879,0.228633,0,"#B4B4B4"
程梯云,程梯云,author,author,0,1,1,0,27,27,0.003907,6,0.215879,0.228633,0,"#B4B4B4"
章回,章回,author,author,0,1,1,0,2,2,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
索柯洛夫,索柯洛夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
紫槿,紫槿,author,author,0,1,1,0,2,2,0.005711,6,0.251492,0.257067,0,"#B4B4B4"
纯青,纯青,author,author,0,2,2,0,7,7,0.029091,4,0.273839,0.293493,12033.092565,"#B4B4B4"
维克多洛夫,维克多洛夫,author,author,0,1,1,0,4,4,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
维斯鸟夫,维斯鸟夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
绿青,绿青,author,author,0,1,1,0,3,3,0.012383,4,0.259774,0.268723,0,"#B4B4B4"
编者,编者,author,author,0,1,1,0,4,4,0.003907,6,0.215879,0.228633,0,"#B4B4B4"
育羣,育羣,author,author,0,1,1,0,2,2,0.021665,6,0.264331,0.280773,0,"#B4B4B4"
胡笛,胡笛,author,author,0,2,2,0,9,9,0.023763,4,0.269186,0.285604,5648.82377,"#B4B4B4"
胡风,胡风,author,author,0,3,3,0,4,4,0.024512,4,0.269852,0.286806,141165.337384,"#B4B4B4"
苏牧,苏牧,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
莊智焕,莊智焕,author,author,0,1,1,0,3,3,0.016708,6,0.261497,0.274576,0,"#B4B4B4"
莎吉娘,莎吉娘,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
莫尔查叶夫,莫尔查叶夫,author,author,0,1,1,0,2,2,0.02742,6,0.266842,0.285979,0,"#B4B4B4"
