Id,Label,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
存真,存真,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
孙亚夫,孙亚夫,author,"#B4B4B4",0,1,1,0,5,5,0.011035,6,0.254049,0.266494,0
孙宝毅,孙宝毅,author,"#B4B4B4",0,1,1,0,19,19,0.011035,6,0.254049,0.266494,0
孙起孟,孙起孟,author,"#B4B4B4",0,3,3,0,8,8,0.03116,4,0.27686,0.298613,0.000895
孟昌,孟昌,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
安约吾,安约吾,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
安逸,安逸,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
宣谛之,宣谛之,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
宦乡,宦乡,author,"#B4B4B4",0,3,3,0,12,12,0.041755,4,0.28558,0.3124,0.001065
宧乡,宧乡,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
寿生,寿生,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
尊立,尊立,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
小羽,小羽,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
少之,少之,author,"#B4B4B4",0,2,2,0,3,3,0.021098,4,0.268583,0.284594,0.000326
尔咸,尔咸,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
尚钺,尚钺,author,"#B4B4B4",0,2,2,0,4,4,0.009771,6,0.255461,0.264753,0.000075
尚铖,尚铖,author,"#B4B4B4",0,1,1,0,4,4,0.007108,6,0.253755,0.261358,0
尚青禾,尚青禾,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
左舜生,左舜生,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
巴尔契斯基,巴尔契斯基,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
庄圻泰,庄圻泰,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
庄永,庄永,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
张东皋,张东皋,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
张东荪,张东荪,author,"#B4B4B4",0,11,11,0,50,50,0.137212,4,0.39881,0.437516,0.03462
张凤举,张凤举,author,"#B4B4B4",0,1,1,0,2,2,0.009611,6,0.252652,0.263087,0
张刚,张刚,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
张君劢,张君劢,author,"#B4B4B4",0,2,2,0,83,83,0.020646,4,0.270124,0.28725,0.001608
张宏,张宏,author,"#B4B4B4",0,1,1,0,2,2,0.014347,6,0.259963,0.272502,0
张志让,张志让,author,"#B4B4B4",0,6,6,0,7,7,0.086362,4,0.328814,0.370267,0.007876
张志龢,张志龢,author,"#B4B4B4",0,1,1,0,2,2,0.005299,6,0.245803,0.253432,0
张恨水,张恨水,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
张时俊,张时俊,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
张明养,张明养,author,"#B4B4B4",0,4,4,0,5,5,0.045103,4,0.2877,0.315731,0.00124
张栋举,张栋举,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
张淦,张淦,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
张珏,张珏,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
张竞存,张竞存,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
张西曼,张西曼,author,"#B4B4B4",0,3,3,0,14,14,0.070902,4,0.315533,0.353951,0.003903
张远昕,张远昕,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
张雪澄,张雪澄,author,"#B4B4B4",0,1,1,0,2,2,0.015799,4,0.264026,0.276457,0
张鸿增,张鸿增,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
彭松,彭松,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
徐修,徐修,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
徐如免,徐如免,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
徐撤,徐撤,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
徐相任,徐相任,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
徐系,徐系,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
徐调孚,徐调孚,author,"#B4B4B4",0,2,2,0,4,4,0.023958,6,0.267347,0.285888,0.000154
徐郎,徐郎,author,"#B4B4B4",0,1,1,0,1,1,0.005299,6,0.245803,0.253432,0
徐铸成,徐铸成,author,"#B4B4B4",0,4,4,0,4,4,0.038488,4,0.281553,0.306244,0.001509
慕英,慕英,author,"#B4B4B4",0,1,1,0,1,1,0.007108,6,0.253755,0.261358,0
戎戈,戎戈,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
戚陈德珍,戚陈德珍,author,"#B4B4B4",0,1,1,0,1,1,0.015799,4,0.264026,0.276457,0
戴寒波,戴寒波,author,"#B4B4B4",0,1,1,0,1,1,0.014347,6,0.259963,0.272502,0
房龙,房龙,author,"#B4B4B4",0,1,1,0,1,1,0.004202,6,0.241655,0.249203,0
托尔斯泰,托尔斯泰,author,"#B4B4B4",0,1,1,0,1,1,0.009611,6,0.252652,0.263087,0
抱贞,抱贞,author,"#B4B4B4",0,1,1,0,1,1,0.011035,6,0.254049,0.266494,0
