Id,Label,type,type2,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
印刷所,印刷所,notion,notion,"#FFFF00",0,1,1,0,3,3,0.003733,4,0.260757,0.270584,0
印回,印回,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
危害,危害,notion,notion,"#FFFF00",0,4,4,0,4,4,0.030063,4,0.329884,0.371116,14497.185674
危局,危局,notion,notion,"#FFFF00",0,4,4,0,7,7,0.022462,4,0.30867,0.345074,8195.086485
危楼,危楼,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006205,4,0.268472,0.284361,0
危言,危言,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001795,4,0.254284,0.258382,0
危险,危险,notion,notion,"#FFFF00",0,2,2,0,2,2,0.011004,4,0.277762,0.299959,1258.80359
危险期,危险期,notion,notion,"#FFFF00",0,1,1,0,1,1,0.005684,4,0.265963,0.279968,0
厄运,厄运,notion,notion,"#FFFF00",0,3,3,0,5,5,0.018129,4,0.297252,0.329492,5681.76932
历程,历程,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
压林,压林,notion,notion,"#FFFF00",0,1,1,0,1,1,0.003712,4,0.259631,0.268506,0
原文,原文,notion,notion,"#FFFF00",0,3,3,0,4,4,0.019487,4,0.303525,0.338183,6083.430066
原是,原是,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
原来如此,原来如此,notion,notion,"#FFFF00",0,2,2,0,2,2,0.011124,4,0.278327,0.300872,1086.178658
原着,原着,notion,notion,"#FFFF00",0,2,2,0,2,2,0.016795,4,0.297441,0.329733,2700.940674
原题,原题,notion,notion,"#FFFF00",0,4,4,0,5,5,0.022411,4,0.303351,0.337973,8779.218172
厦门,厦门,notion,notion,"#FFFF00",0,1,1,0,3,3,0.007412,4,0.271558,0.289651,0
去向,去向,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006776,4,0.269878,0.286786,0
去职,去职,notion,notion,"#FFFF00",0,2,2,0,2,2,0.0069,4,0.267595,0.28286,506.753556
县政,县政,notion,notion,"#FFFF00",0,5,5,0,5,5,0.033053,4,0.336826,0.378952,23411.08965
参会,参会,notion,notion,"#FFFF00",0,3,3,0,5,5,0.018023,4,0.296918,0.329019,5670.608476
参加国,参加国,notion,notion,"#FFFF00",0,1,1,0,1,1,0.005684,4,0.265963,0.279968,0
参考资料,参考资料,notion,notion,"#FFFF00",0,1,1,0,3,3,0.007382,4,0.272023,0.290439,0
参议员,参议员,notion,notion,"#FFFF00",0,4,4,0,5,5,0.02749,4,0.321625,0.361386,12939.240963
及闻,及闻,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00276,4,0.256685,0.262979,0
双包,双包,notion,notion,"#FFFF00",0,1,1,0,1,1,0.000392,4,0.250829,0.251611,0
双簧,双簧,notion,notion,"#FFFF00",0,2,2,0,3,3,0.013113,4,0.285339,0.31191,1834.527572
反串,反串,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001795,4,0.254284,0.258382,0
反侵略,反侵略,notion,notion,"#FFFF00",0,1,1,0,2,2,0.007382,4,0.272023,0.290439,0
反俄,反俄,notion,notion,"#FFFF00",0,1,1,0,1,1,0.005684,4,0.265963,0.279968,0
反动势力,反动势力,notion,notion,"#FFFF00",0,4,4,0,5,5,0.01859,4,0.294561,0.325676,4653.502947
反对党,反对党,notion,notion,"#FFFF00",0,3,3,0,3,3,0.009476,4,0.271382,0.289405,1479.049156
反对派,反对派,notion,notion,"#FFFF00",0,3,3,0,3,3,0.010194,4,0.275201,0.295797,1237.700526
反应,反应,notion,notion,"#FFFF00",0,5,5,0,6,6,0.026706,4,0.31267,0.35028,11847.536592
反战,反战,notion,notion,"#FFFF00",0,2,2,0,2,2,0.012136,4,0.283566,0.30917,2281.83965
反抢,反抢,notion,notion,"#FFFF00",0,1,1,0,1,1,0.006205,4,0.268472,0.284361,0
反映,反映,notion,notion,"#FFFF00",0,4,4,0,4,4,0.022827,4,0.308024,0.344224,11776.288872
反死,反死,notion,notion,"#FFFF00",0,1,1,0,1,1,0.001795,4,0.254284,0.258382,0
反法西斯,反法西斯,notion,notion,"#FFFF00",0,2,2,0,4,4,0.014794,4,0.28985,0.318727,2075.122802
反美,反美,notion,notion,"#FFFF00",0,7,7,0,9,9,0.043605,4,0.356105,0.399095,34094.343801
反革命,反革命,notion,notion,"#FFFF00",0,2,2,0,2,2,0.015338,4,0.293418,0.32397,2377.107993
发刊,发刊,notion,notion,"#FFFF00",0,1,1,0,1,1,0.007382,4,0.272023,0.290439,0
发挥,发挥,notion,notion,"#FFFF00",0,3,3,0,4,4,0.017351,4,0.29622,0.328027,6462.688109
发疯,发疯,notion,notion,"#FFFF00",0,1,1,0,1,1,0.00532,4,0.264792,0.27789,0
发芽,发芽,notion,notion,"#FFFF00",0,1,1,0,1,1,0.004405,4,0.26223,0.273276,0
