Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Stilwell(1948),Stilwell,notion,0,1,1,0,2,2,0.005389,4,0.25849,0.266394,0
by(1948),by,notion,0,2,2,0,4,4,0.008698,4,0.258507,0.266483,0.569098
of(1948),of,notion,0,2,2,0,4,4,0.008698,4,0.258507,0.266483,0.569098
一九三三年(1948),一九三三年,notion,0,1,1,0,2,2,0.016518,4,0.278724,0.3015,0
一关(1948),一关,notion,0,1,1,0,2,2,0.009755,4,0.266617,0.281135,0
一天(1948),一天,notion,0,4,4,0,5,5,0.048207,4,0.330053,0.371412,13260.294943
一根(1948),一根,notion,0,1,1,0,2,2,0.004718,4,0.258401,0.266227,0
一步(1948),一步,notion,0,2,2,0,3,3,0.026503,4,0.295799,0.327444,2668.961321
一点(1948),一点,notion,0,5,5,0,8,8,0.064563,4,0.356658,0.399718,20322.621831
一种(1948),一种,notion,0,7,7,0,10,10,0.073314,4,0.370628,0.41304,33922.081341
一谈(1948),一谈,notion,0,1,1,0,2,2,0.009739,4,0.265806,0.279704,0
一边(1948),一边,notion,0,1,1,0,2,2,0.016518,4,0.278724,0.3015,0
三优(1948),三优,notion,0,1,1,0,2,2,0.002332,4,0.253398,0.256677,0
三周年(1948),三周年,notion,0,4,4,0,7,7,0.03567,4,0.300893,0.334709,4674.496605
三报(1948),三报,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
上之馆(1948),上之馆,notion,0,1,1,0,2,2,0.007515,4,0.262793,0.274313,0
下乡(1948),下乡,notion,0,2,2,0,5,5,0.014469,4,0.27493,0.295366,1965.542095
不同(1948),不同,notion,0,5,5,0,8,8,0.052893,4,0.336529,0.378755,16084.912752
专门知识(1948),专门知识,notion,0,1,1,0,2,2,0.016752,4,0.279138,0.302165,0
丛书(1948),丛书,notion,0,2,2,0,3,3,0.028074,4,0.296149,0.327943,1864.79583
东京(1948),东京,notion,0,5,5,0,9,9,0.052585,4,0.330082,0.371501,12972.423083
东南欧(1948),东南欧,notion,0,2,2,0,3,3,0.014772,4,0.272635,0.291539,771.57337
