Source,Target,Type,Id,Label,timeset,Weight,year,place,journal,MMNT-EdgeType
严景曜(1945),冯玉祥(1945),Undirected,232570,author-author,,10,,,,author<--->author
严景曜(1945),叔梁(1945),Undirected,232571,author-author,,1,,,,author<--->author
严景曜(1945),周建人(1945),Undirected,232572,author-author,,6,,,,author<--->author
严景曜(1945),周谷城(1945),Undirected,232573,author-author,,12,,,,author<--->author
严景曜(1945),尊闻(1945),Undirected,232574,author-author,,1,,,,author<--->author
严景曜(1945),小鱼(1945),Undirected,232575,author-author,,5,,,,author<--->author
严景曜(1945),张君劢(1945),Undirected,232576,author-author,,2,,,,author<--->author
严景曜(1945),张申府(1945),Undirected,232577,author-author,,2,,,,author<--->author
严景曜(1945),慕英(1945),Undirected,232578,author-author,,10,,,,author<--->author
严景曜(1945),戚陈德珍(1945),Undirected,232579,author-author,,5,,,,author<--->author
严景曜(1945),施贻(1945),Undirected,232580,author-author,,5,,,,author<--->author
严景曜(1945),曾守约(1945),Undirected,232581,author-author,,5,,,,author<--->author
严景曜(1945),李战林(1945),Undirected,232582,author-author,,10,,,,author<--->author
严景曜(1945),柳诒(1945),Undirected,232583,author-author,,10,,,,author<--->author
严景曜(1945),潘大逵(1945),Undirected,232584,author-author,,1,,,,author<--->author
严景曜(1945),澹庐(1945),Undirected,232585,author-author,,1,,,,author<--->author
严景曜(1945),灕流(1945),Undirected,232586,author-author,,10,,,,author<--->author
严景曜(1945),艾秋飙(1945),Undirected,232587,author-author,,5,,,,author<--->author
严景曜(1945),范华农(1945),Undirected,232588,author-author,,10,,,,author<--->author
严景曜(1945),邓初民(1945),Undirected,232589,author-author,,10,,,,author<--->author
严景曜(1945),郑初民(1945),Undirected,232590,author-author,,11,,,,author<--->author
严景曜(1945),郑振铎(1945),Undirected,232591,author-author,,7,,,,author<--->author
严景曜(1945),陈鼎龢(1945),Undirected,232592,author-author,,10,,,,author<--->author
严景曜(1945),马丁(1945),Undirected,232593,author-author,,10,,,,author<--->author
严景曜(1945),丁聪(1945),Undirected,232594,author-author,,5,,,,author<--->author
严景曜(1945),严延(1945),Undirected,232595,author-author,,5,,,,author<--->author
严景曜(1945),伯韩(1945),Undirected,232596,author-author,,5,,,,author<--->author
严景曜(1945),侯外庐(1945),Undirected,232597,author-author,,5,,,,author<--->author
严景曜(1945),刘清扬(1945),Undirected,232598,author-author,,5,,,,author<--->author
严景曜(1945),叔伟(1945),Undirected,232599,author-author,,1,,,,author<--->author
严景曜(1945),吉人(1945),Undirected,232600,author-author,,5,,,,author<--->author
严景曜(1945),君山(1945),Undirected,232601,author-author,,5,,,,author<--->author
严景曜(1945),吴斐丹(1945),Undirected,232602,author-author,,6,,,,author<--->author
严景曜(1945),吴晓(1945),Undirected,232603,author-author,,5,,,,author<--->author
