Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
攻日 (n),攻日,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
浪潮 (n),浪潮,,notion,6,0,6,6,0,6,0.011469,9,0.225384,0.237737,9474.90873
激战 (n),激战,,notion,3,0,3,4,0,4,0.009138,9,0.218158,0.230937,6304.675618
琉球 (n),琉球,,notion,5,0,5,5,0,5,0.035067,8,0.247139,0.26352,6844.646827
登陆 (n),登陆,,notion,2,0,2,2,0,2,0.005921,9,0.217661,0.229258,169.226627
硫球 (n),硫球,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
突变 (n),突变,,notion,2,0,2,2,0,2,0.005479,9,0.218828,0.23037,198.596189
第八期 (n),第八期,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
筹备 (n),筹备,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
红旗 (n),红旗,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
结束 (n),结束,,notion,6,0,6,6,0,6,0.011968,9,0.22466,0.237355,14802.887297
美军 (n),美军,,notion,14,0,14,15,0,15,0.061362,8,0.257035,0.274725,85521.042149
群岛 (n),群岛,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
联盟 (n),联盟,,notion,5,0,5,8,0,8,0.053636,8,0.253794,0.271553,25877.498731
进入 (n),进入,,notion,3,0,3,3,0,3,0.008268,9,0.220508,0.23245,1285.318807
进行曲 (n),进行曲,,notion,2,0,2,2,0,2,0.00394,10,0.208517,0.219235,15317.970099
重大意义 (n),重大意义,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
阿刺伯 (n),阿刺伯,,notion,1,0,1,1,0,1,0.003609,10,0.208499,0.219163,0
晓敷(1945),晓敷,,author,0,2,2,0,2,2,0.011557,9,0.224375,0.23699,16908.110273
常识 (n),常识,,notion,5,0,5,5,0,5,0.002455,10,0.190955,0.199116,15413.266762
晓歌(1945),晓歌,,author,0,4,4,0,4,4,0.001876,11,0.19016,0.197332,43593
专员 (n),专员,,notion,1,0,1,1,0,1,0.000382,12,0.159779,0.16394,0
大哉 (n),大哉,,notion,1,0,1,1,0,1,0.000382,12,0.159779,0.16394,0
宽恕 (n),宽恕,,notion,1,0,1,1,0,1,0.000382,12,0.159779,0.16394,0
中计 (n),中计,,notion,1,0,1,1,0,1,0.002274,10,0.206279,0.2165,0
之夜 (n),之夜,,notion,3,0,3,3,0,3,0.008558,10,0.224562,0.23675,3887.202828
双十节 (n),双十节,,notion,12,0,12,16,0,16,0.02152,10,0.235234,0.249112,25543.660069
呼喊 (n),呼喊,,notion,1,0,1,1,0,1,0.002274,10,0.206279,0.2165,0
忘记 (n),忘记,,notion,3,0,3,3,0,3,0.003657,10,0.209382,0.220052,2911.448874
橘子 (n),橘子,,notion,1,0,1,1,0,1,0.002274,10,0.206279,0.2165,0
爱抚 (n),爱抚,,notion,1,0,1,1,0,1,0.002274,10,0.206279,0.2165,0
狂欢 (n),狂欢,,notion,2,0,2,2,0,2,0.003679,10,0.209436,0.220105,97.195283
黄花 (n),黄花,,notion,2,0,2,2,0,2,0.007967,10,0.22405,0.236496,710.445306
晶远(1945),晶远,,author,0,1,1,0,1,1,0.003908,9,0.210523,0.220391,0
曹介植(1945),曹介植,,author,0,2,2,0,2,2,0.000649,11,0.155116,0.159075,14532
松江 (n),松江,,notion,2,0,2,2,0,2,0.001133,10,0.183588,0.190293,29062
近事录 (n),近事录,,notion,1,0,1,1,0,1,0.000329,12,0.134288,0.136809,0
曹樸(1945),曹樸,,author,0,3,3,0,3,3,0.017173,9,0.231399,0.246131,16098.497808
改革 (n),改革,,notion,60,0,60,75,0,75,0.074183,9,0.247898,0.264846,362630.790351
语文 (n),语文,,notion,2,0,2,2,0,2,0.001126,10,0.187928,0.195407,268.881497
封锁线 (n),封锁线,,notion,1,0,1,1,0,1,0.000672,10,0.183259,0.189816,0
白瑞德 (n),白瑞德,,notion,1,0,1,1,0,1,0.000672,10,0.183259,0.189816,0
谈新 (n),谈新,,notion,1,0,1,1,0,1,0.000672,10,0.183259,0.189816,0
赣南 (n),赣南,,notion,1,0,1,1,0,1,0.000672,10,0.183259,0.189816,0
曹萝阳(1945),曹萝阳,,author,0,6,6,0,6,6,0.018943,9,0.23,0.244073,15956.267533
坦途 (n),坦途,,notion,2,0,2,2,0,2,0.001688,10,0.196119,0.205264,35.047015
民权 (n),民权,,notion,5,0,5,7,0,7,0.016759,9,0.235554,0.248784,6690.735571
而战 (n),而战,,notion,2,0,2,2,0,2,0.00155,10,0.194242,0.20251,50.640351
曾昭抡(1945),曾昭抡,,author,0,18,18,0,19,19,0.049085,9,0.247189,0.266221,98755.363543
一块 (n),一块,,notion,1,0,1,1,0,1,0.001614,10,0.1982,0.207353,0
会谈纪要 (n),会谈纪要,,notion,2,0,2,2,0,2,0.003702,10,0.211269,0.222208,69.518155
写给 (n),写给,,notion,5,0,5,5,0,5,0.005265,10,0.210364,0.221442,8491.167532
最大 (n),最大,,notion,6,0,6,7,0,7,0.008011,10,0.220194,0.232338,23377.562608
航空母舰 (n),航空母舰,,notion,2,0,2,2,0,2,0.002051,10,0.198709,0.208031,1762.473154
初民 (n),初民,,notion,1,0,1,1,0,1,0.000674,10,0.182431,0.189092,0
大鉴 (n),大鉴,,notion,1,0,1,1,0,1,0.000674,10,0.182431,0.189092,0
屡次 (n),屡次,,notion,1,0,1,1,0,1,0.000674,10,0.182431,0.189092,0
曾琦 (n),曾琦,,notion,3,0,3,3,0,3,0.001482,10,0.186108,0.19333,1049.55828
未获 (n),未获,,notion,1,0,1,1,0,1,0.000674,10,0.182431,0.189092,0
相遇 (n),相遇,,notion,1,0,1,1,0,1,0.000674,10,0.182431,0.189092,0
曾瑞(1945),曾瑞,,author,0,2,2,0,2,2,0.000618,1,1,1,1
偷渡 (n),偷渡,,notion,1,0,1,1,0,1,0.000328,2,0.666667,0.75,0
怒江 (n),怒江,,notion,1,0,1,1,0,1,0.000328,2,0.666667,0.75,0
月伶(1945),月伶,,author,0,3,3,0,3,3,0.005419,9,0.214038,0.224212,937.77232
一封信 (n),一封信,,notion,9,0,9,9,0,9,0.01187,10,0.227572,0.240452,17671.098341
朝华(1945),朝华,,author,0,4,4,0,4,4,0.002142,10,0.19207,0.199348,29294.357672
孔子 (n),孔子,,notion,3,0,3,8,0,8,0.003678,10,0.210712,0.221777,7714.088439
正则 (n),正则,,notion,1,0,1,1,0,1,0.000391,11,0.161125,0.16531,0
言不顺 (n),言不顺,,notion,1,0,1,1,0,1,0.000391,11,0.161125,0.16531,0
木林(1945),木林,,author,0,6,6,0,6,6,0.0054,9,0.20943,0.218668,8496.286836
从速 (n),从速,,notion,2,0,2,2,0,2,0.001184,10,0.181947,0.188511,131.821821
小学教师 (n),小学教师,,notion,3,0,3,3,0,3,0.001483,10,0.184783,0.191824,284.344333
待遇 (n),待遇,,notion,15,0,15,15,0,15,0.035607,9,0.247299,0.262619,99490.302617
改善 (n),改善,,notion,10,0,10,10,0,10,0.011173,10,0.219323,0.231643,10370.463227
朱健飞(1945),朱健飞,,author,0,2,2,0,2,2,0.001987,10,0.196373,0.203998,368.322739
朱彬元(1945),朱彬元,,author,0,5,5,0,5,5,0.020146,9,0.23179,0.247151,40122.191501
伪储券 (n),伪储券,,notion,4,0,4,4,0,4,0.002056,10,0.188851,0.196896,1606.565246
流通 (n),流通,,notion,1,0,1,1,0,1,0.00081,10,0.188176,0.195893,0
朱洗(1945),朱洗,,author,0,1,1,0,1,1,0.000308,1,1,1,0
过与不及 (n),过与不及,,notion,1,0,1,1,0,1,0.000308,1,1,1,0
朱自珍(1945),朱自珍,,author,0,2,2,0,2,2,0.000674,11,0.160392,0.16501,14532
陆军 (n),陆军,,notion,1,0,1,1,0,1,0.00033,12,0.138224,0.141126,0
李健吾(1945),李健吾,,author,0,1,1,0,1,1,0.000404,11,0.176734,0.182821,0
上演 (n),上演,,notion,2,0,2,2,0,2,0.004122,10,0.214671,0.225869,14532
李兆(1945),李兆,,author,0,1,1,0,1,1,0.003908,9,0.210523,0.220391,0
李兆安(1945),李兆安,,author,0,5,5,0,5,5,0.002308,10,0.194185,0.201379,43913.602351
不宜 (n),不宜,,notion,1,0,1,1,0,1,0.000405,11,0.162611,0.166732,0
教练 (n),教练,,notion,1,0,1,1,0,1,0.000405,11,0.162611,0.166732,0
注意 (n),注意,,notion,7,0,7,7,0,7,0.005758,10,0.213178,0.224559,28931.980611
目标 (n),目标,,notion,10,0,10,10,0,10,0.019786,9,0.236006,0.24982,84959.472951
非礼勿视 (n),非礼勿视,,notion,1,0,1,1,0,1,0.000405,11,0.162611,0.166732,0
李公朴(1945),李公朴,,author,0,2,2,0,2,2,0.008444,9,0.218749,0.230038,1185.17016
