Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
钱歌川,钱歌川,,author,0,3,295,0,3,571,0.239749,4,0.500404,0.526858,961.665875
铁生,铁生,,author,0,1,308,0,1,435,0.305233,4,0.504003,0.530403,0
银沐,银沐,,author,0,1,12,0,1,16,0.007246,4,0.441093,0.456987,0
长之,长之,,author,0,8,271,0,16,866,0.165754,4,0.504345,0.527284,2702.892816
长青,长青,,author,0,3,320,0,3,460,0.309576,4,0.505512,0.532445,182.24
闵思彦,闵思彦,,author,0,2,31,0,2,33,0.016325,4,0.455036,0.470136,351.917739
闻鼙,闻鼙,,author,0,5,167,0,5,226,0.123736,4,0.49114,0.509132,476.78476
闽友,闽友,,author,0,3,50,0,3,67,0.022758,4,0.455203,0.471998,3750.081123
阮惠刚,阮惠刚,,author,0,2,55,0,2,66,0.032177,4,0.458915,0.475363,46.401958
阿栅,阿栅,,author,0,2,17,0,2,21,0.009749,4,0.444844,0.460577,14.361261
阿细,阿细,,author,0,2,33,0,2,40,0.007513,5,0.414185,0.434536,68.091626
陆君平,陆君平,,author,0,4,53,0,4,80,0.047894,4,0.467758,0.48205,5.405486
陆平强,陆平强,,author,0,0,0,0,0,0,0,0,0,0,0
陆文兴,陆文兴,,author,0,2,323,0,2,463,0.312014,4,0.506063,0.533073,106.455556
陆森,陆森,,author,0,8,579,0,8,1088,0.519138,4,0.528909,0.570252,1389.871474
陆自成,陆自成,,author,0,3,6,0,3,17,0.005164,4,0.44146,0.45674,0.322575
陈××,陈××,,author,0,0,0,0,0,0,0,0,0,0,0
陈伯康,陈伯康,,author,0,5,357,0,5,526,0.331304,4,0.508767,0.537897,1074.457031
陈伶,陈伶,,author,0,1,3,0,1,4,0.002294,4,0.429067,0.445746,0
