Id,Label,timeset,type,indegree,outdegree,Degree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
武剧 (n),武剧,,notion,2,0,12,14,0.007915,5,0.355642,0.373003,87.72528
厦门 (n),厦门,,notion,1,0,1,2,0.000038,6,0.271876,0.279735,0
从事 (n),从事,,notion,2,0,48,71,0.030644,5,0.434133,0.454679,0
五项 (n),五项,,notion,2,0,618,1130,0.926829,4,0.498867,0.549159,1763.671118
可怕 (n),可怕,,notion,3,0,201,265,0.074478,5,0.456052,0.484967,4939.729617
报馆 (n),报馆,,notion,2,0,5,5,0.000225,5,0.311277,0.320126,8360
观后 (n),观后,,notion,3,0,37,72,0.00303,5,0.373426,0.394285,2283.256411
计划 (n),计划,,notion,14,0,737,4772,0.937132,4,0.515723,0.569444,35401.084286
共和 (n),共和,,notion,2,0,36,48,0.021433,5,0.407801,0.429846,84.695271
第四 (n),第四,,notion,3,0,45,50,0.017145,5,0.42064,0.442719,481.002478
华南 (n),华南,,notion,3,0,47,76,0.021745,4,0.423665,0.445281,1410.141703
黑色 (n),黑色,,notion,1,0,2,2,0.000116,6,0.300517,0.308525,0
动盪 (n),动盪,,notion,1,0,20,30,0.015303,5,0.388698,0.40988,0
山城 (n),山城,,notion,1,0,1,1,0.000018,1,1,1,0
追悼会 (n),追悼会,,notion,2,0,55,68,0.0234,5,0.425649,0.448039,1167.772152
教学 (n),教学,,notion,1,0,75,87,0.026997,5,0.428967,0.452387,0
报导 (n),报导,,notion,5,0,64,166,0.018653,5,0.422467,0.445732,2304.748828
根本 (n),根本,,notion,3,0,74,86,0.027865,5,0.437722,0.460095,3077.212568
序幕 (n),序幕,,notion,2,0,56,119,0.019009,5,0.397189,0.42125,1074.765184
揭幕 (n),揭幕,,notion,1,0,15,24,0.007293,5,0.386721,0.40705,0
沿革 (n),沿革,,notion,1,0,98,356,0.034284,5,0.429231,0.454679,0
考察 (n),考察,,notion,2,0,121,186,0.036785,5,0.432561,0.459401,6156.970966
不让 (n),不让,,notion,1,0,6,7,0.006161,5,0.344481,0.358935,0
为何 (n),为何,,notion,1,0,24,43,0.008568,5,0.406375,0.427893,0
坚持 (n),坚持,,notion,3,0,282,471,0.096092,5,0.46915,0.501526,8547.498804
党员 (n),党员,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
生涯 (n),生涯,,notion,1,0,22,29,0.007216,5,0.370351,0.39016,0
欣赏 (n),欣赏,,notion,3,0,40,44,0.011206,5,0.385331,0.40772,1850.694571
教育家 (n),教育家,,notion,1,0,25,28,0.01398,5,0.384977,0.405699,0
不死 (n),不死,,notion,1,0,116,142,0.047061,4,0.430291,0.4565,0
就是 (n),就是,,notion,1,0,3,3,0.000082,6,0.278169,0.286649,0
三点 (n),三点,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
四首 (n),四首,,notion,1,0,116,142,0.047061,4,0.430291,0.4565,0
秋水 (n),秋水,,notion,1,0,22,23,0.011849,5,0.37453,0.394528,0
诗选 (n),诗选,,notion,1,0,8,80,0.002017,5,0.356765,0.373378,0
原子 (n),原子,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
帝国主义 (n),帝国主义,,notion,4,0,664,1202,0.930705,4,0.504281,0.556412,9972.316941
司徒 (n),司徒,,notion,1,0,611,2240,0.925943,4,0.497324,0.547565,0
应当 (n),应当,,notion,2,0,34,38,0.003738,5,0.376418,0.397677,1338.593118
反动势力 (n),反动势力,,notion,1,0,123,158,0.054084,5,0.438043,0.46426,0
令人 (n),令人,,notion,2,0,71,106,0.018468,5,0.421148,0.445014,0
日子 (n),日子,,notion,8,0,116,189,0.022356,5,0.415499,0.443759,7034.013113
邮电 (n),邮电,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
代价 (n),代价,,notion,1,0,6,6,0.000136,6,0.285091,0.293528,0
和平解决 (n),和平解决,,notion,1,0,5,5,0.003532,5,0.371041,0.38973,0
成为 (n),成为,,notion,1,0,3,3,0.001684,5,0.344566,0.358309,0
扯淡 (n),扯淡,,notion,1,0,1,1,0.000018,1,1,1,0
胡适 (n),胡适,,notion,4,0,621,1140,0.92654,4,0.498213,0.54896,7749.935511
改善生活 (n),改善生活,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
继续 (n),继续,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
停刊 (n),停刊,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
宣传 (n),宣传,,notion,3,0,717,1308,0.939124,4,0.513507,0.566436,10057.081253
干什么 (n),干什么,,notion,1,0,14,26,0.002033,5,0.347804,0.363737,0
拆穿 (n),拆穿,,notion,1,0,116,142,0.047061,4,0.430291,0.4565,0
铁幕 (n),铁幕,,notion,3,0,7,11,0.005174,5,0.36999,0.388419,0
厄运 (n),厄运,,notion,3,0,20,22,0.005903,5,0.387043,0.407915,829.216706
电影 (n),电影,,notion,3,0,8,8,0.002411,5,0.389857,0.410167,1507.831908
维护 (n),维护,,notion,1,0,611,1121,0.925943,4,0.497324,0.547565,0
祖国 (n),祖国,,notion,3,0,625,2258,0.927158,4,0.500658,0.550913,7065.219563
解释 (n),解释,,notion,4,0,72,1251,0.025065,5,0.424138,0.447892,1651.857521
马来亚 (n),马来亚,,notion,7,0,633,5623,0.927796,4,0.499045,0.550474,8050.546479
了解 (n),了解,,notion,3,0,82,102,0.023002,5,0.408758,0.434748,842.209207
事务 (n),事务,,notion,2,0,79,107,0.021981,5,0.40258,0.428423,215.789764
担当 (n),担当,,notion,8,0,190,362,0.047078,5,0.446509,0.476618,7695.48515
约束 (n),约束,,notion,1,0,10,10,0.005101,5,0.370383,0.388905,0
史大林 (n),史大林,,notion,1,0,7,7,0.001806,5,0.343547,0.358333,0
追念 (n),追念,,notion,3,0,58,68,0.025767,5,0.417991,0.441344,3991.63611
否认 (n),否认,,notion,2,0,615,3361,0.92605,4,0.497739,0.548163,10859.882511
养成 (n),养成,,notion,1,0,98,179,0.034284,5,0.429231,0.454679,0
奴才 (n),奴才,,notion,2,0,16,20,0.002154,5,0.349228,0.365897,344.499215
饥民 (n),饥民,,notion,1,0,2,2,0.001525,5,0.332697,0.345672,0
教师 (n),教师,,notion,2,0,613,2243,0.925987,4,0.497443,0.547804,4065.928675
可怜 (n),可怜,,notion,1,0,14,14,0.002159,5,0.352317,0.368584,0
犯人 (n),犯人,,notion,1,0,8,20,0.002017,5,0.356765,0.373378,0
反对党 (n),反对党,,notion,1,0,2,2,0.000266,5,0.324639,0.334541,0
存在 (n),存在,,notion,2,0,142,224,0.044484,5,0.435625,0.463785,493.156759
一生 (n),一生,,notion,1,0,7,11,0.00198,5,0.367745,0.385637,0
迫切 (n),迫切,,notion,1,0,18,64,0.014193,5,0.414963,0.434852,0
