"Id","Label"
"小羽(1945)","小羽"
"少之(1945)","少之"
"尔咸(1945)","尔咸"
"尚钺(1945)","尚钺"
"尚铖(1945)","尚铖"
"尚青禾(1945)","尚青禾"
"左舜生(1945)","左舜生"
"巴尔契斯基(1945)","巴尔契斯基"
"庄圻泰(1945)","庄圻泰"
"庄永(1945)","庄永"
"张东皋(1945)","张东皋"
"张东荪(1945)","张东荪"
"张凤举(1945)","张凤举"
"张刚(1945)","张刚"
"张君劢(1945)","张君劢"
"张宏(1945)","张宏"
"张志让(1945)","张志让"
"张志龢(1945)","张志龢"
"张恨水(1945)","张恨水"
"张时俊(1945)","张时俊"
"张明养(1945)","张明养"
"张栋举(1945)","张栋举"
"张淦(1945)","张淦"
"张珏(1945)","张珏"
"张竞存(1945)","张竞存"
"张西曼(1945)","张西曼"
"张远昕(1945)","张远昕"
"张雪澄(1945)","张雪澄"
"张鸿增(1945)","张鸿增"
"彭松(1945)","彭松"
"徐修(1945)","徐修"
"徐如免(1945)","徐如免"
"徐撤(1945)","徐撤"
"徐相任(1945)","徐相任"
"徐系(1945)","徐系"
"徐调孚(1945)","徐调孚"
"徐郎(1945)","徐郎"
"徐铸成(1945)","徐铸成"
"慕英(1945)","慕英"
"戎戈(1945)","戎戈"
"戚陈德珍(1945)","戚陈德珍"
"戴寒波(1945)","戴寒波"
"房龙(1945)","房龙"
"托尔斯泰(1945)","托尔斯泰"
"抱贞(1945)","抱贞"
"拉铁摩尔(1945)","拉铁摩尔"
"振寰(1945)","振寰"
"敏之(1945)","敏之"
"文宜(1945)","文宜"
"斯诺(1945)","斯诺"
"新武(1945)","新武"
"方与严(1945)","方与严"
"方扬(1945)","方扬"
"方治平(1945)","方治平"
"方禺(1945)","方禺"
"施佑铭(1945)","施佑铭"
"施复亮(1945)","施复亮"
"施艾(1945)","施艾"
"施贻(1945)","施贻"
"明养(1945)","明养"
"明子(1945)","明子"
"易水(1945)","易水"
"春光(1945)","春光"
"晓敷(1945)","晓敷"
"晶远(1945)","晶远"
"曹介植(1945)","曹介植"
"曹樸(1945)","曹樸"
"曾守约(1945)","曾守约"
"曾琦(1945)","曾琦"
"曾瑞(1945)","曾瑞"
"月伶(1945)","月伶"
"朝华(1945)","朝华"
"木林(1945)","木林"
"朱健飞(1945)","朱健飞"
"朱彬元(1945)","朱彬元"
"朱洗(1945)","朱洗"
"朱自珍(1945)","朱自珍"
"李健吾(1945)","李健吾"
"李兆(1945)","李兆"
"李公朴(1945)","李公朴"
"李善卷(1945)","李善卷"
"李时中(1945)","李时中"
"李自强(1945)","李自强"
"杜迈之(1945)","杜迈之"
"来秋(1945)","来秋"
"杨佑贤(1945)","杨佑贤"
"杨作雨(1945)","杨作雨"
"杨动(1945)","杨动"
"杨学纯(1945)","杨学纯"
"杨宗亿(1945)","杨宗亿"
"杨愚(1945)","杨愚"
"杨穗(1945)","杨穗"
"杨荣国(1945)","杨荣国"
"杨蔚(1945)","杨蔚"
"杨霁云(1945)","杨霁云"
"林松(1945)","林松"
"林汉达(1945)","林汉达"
"林焕平(1945)","林焕平"
"林谷(1945)","林谷"
"林陵蓉(1945)","林陵蓉"
"柏有仁(1945)","柏有仁"
"柯灵(1945)","柯灵"
"柳蕴(1945)","柳蕴"
"树鹃(1945)","树鹃"
"桑弧(1945)","桑弧"
"梁纯夫(1945)","梁纯夫"
"梅兰芳(1945)","梅兰芳"
"梅湜(1945)","梅湜"
"梧轩(1945)","梧轩"
"欧罗(1945)","欧罗"
"正非(1945)","正非"
"民语(1945)","民语"
"永先(1945)","永先"
"汝德(1945)","汝德"
"江同(1945)","江同"
"汤心仪(1945)","汤心仪"
"汪大煊(1945)","汪大煊"
"沈兹九(1945)","沈兹九"
"沈来秋(1945)","沈来秋"
"沈若谷(1945)","沈若谷"
"沈钧儒(1945)","沈钧儒"
"沙溪(1945)","沙溪"
"洛明(1945)","洛明"
"洪谦(1945)","洪谦"
"济之(1945)","济之"
"浩川(1945)","浩川"
"海魂(1945)","海魂"
"涵先(1945)","涵先"
"深公(1945)","深公"
"清涟(1945)","清涟"
"渠之(1945)","渠之"
"游牧(1945)","游牧"
"湘渔(1945)","湘渔"
"潘光旦(1945)","潘光旦"
"潘大逵(1945)","潘大逵"
"潘安业(1945)","潘安业"
"潘梓年(1945)","潘梓年"
"潘焕昆(1945)","潘焕昆"
"潘立桐(1945)","潘立桐"
"灕流(1945)","灕流"
"炎火(1945)","炎火"
"焦敏之(1945)","焦敏之"
"爱思金(1945)","爱思金"
"独郑步(1945)","独郑步"
"王__(1945)","王__"
"王善淳(1945)","王善淳"
"王子敬(1945)","王子敬"
"王琦(1945)","王琦"
"王碎若(1945)","王碎若"
"王绍鏊(1945)","王绍鏊"
"王若飞(1945)","王若飞"
"王赣愚(1945)","王赣愚"
"王铁猴(1945)","王铁猴"
"王雨桐(1945)","王雨桐"
"甘敏(1945)","甘敏"
"田禾(1945)","田禾"
"申迟(1945)","申迟"
"白英(1945)","白英"
"直心(1945)","直心"
"瞿荆洲(1945)","瞿荆洲"
"知廉(1945)","知廉"
"石城(1945)","石城"
"石如(1945)","石如"
"石梅(1945)","石梅"
"石渊(1945)","石渊"
"祝公健(1945)","祝公健"
"秉志(1945)","秉志"
"秋原(1945)","秋原"
"程力方(1945)","程力方"
"程及(1945)","程及"
"程启钧(1945)","程启钧"
"程澄之(1945)","程澄之"
"穆欣(1945)","穆欣"
"穆涛(1945)","穆涛"
"立垒(1945)","立垒"
"章乃器(1945)","章乃器"
"章榴(1945)","章榴"
"章锡琛(1945)","章锡琛"
"童润之(1945)","童润之"
"竹云龙(1945)","竹云龙"
"笪移今(1945)","笪移今"
"简樸(1945)","简樸"
"箫明(1945)","箫明"
"纪鲁(1945)","纪鲁"
"绀弩(1945)","绀弩"
"罗任一(1945)","罗任一"
"罗守信(1945)","罗守信"
"罗尔鲍(1945)","罗尔鲍"
"罗斯福(1945)","罗斯福"
"罗罗隆基(1945)","罗罗隆基"
"罗贝慈(1945)","罗贝慈"
"翁文灏(1945)","翁文灏"
"耀羣(1945)","耀羣"
"老圣(1945)","老圣"
"老舍(1945)","老舍"
"耿介怀(1945)","耿介怀"
"耿济之(1945)","耿济之"
"肇世(1945)","肇世"
"肯明斯(1945)","肯明斯"
"胡大庆(1945)","胡大庆"
"胡思濂(1945)","胡思濂"
"胡经纬(1945)","胡经纬"
"胡绳(1945)","胡绳"
"舒湮(1945)","舒湮"
"舜生(1945)","舜生"
"艾艾(1945)","艾艾"
"艾芜(1945)","艾芜"
"艾莤(1945)","艾莤"
"花西里(1945)","花西里"
"苏东(1945)","苏东"
"苦人(1945)","苦人"
"范樸斋(1945)","范樸斋"
"荃麟(1945)","荃麟"
"草草(1945)","草草"
"莊稼(1945)","莊稼"
"莫同尧(1945)","莫同尧"
"莫启欧(1945)","莫启欧"
"莫白水(1945)","莫白水"
"莫闻(1945)","莫闻"
"葛一虹(1945)","葛一虹"
"董浩(1945)","董浩"
"董渭川(1945)","董渭川"
"蒋畴余(1945)","蒋畴余"
"蒲作(1945)","蒲作"
"蓝光(1945)","蓝光"
"蔡楚生(1945)","蔡楚生"
"薛光前(1945)","薛光前"
"薛汕(1945)","薛汕"
"虞人平(1945)","虞人平"
"虞德林(1945)","虞德林"
"衍棣(1945)","衍棣"
"观察者(1945)","观察者"
"言复(1945)","言复"
"警予(1945)","警予"
"许寿裳(1945)","许寿裳"
"诸慧(1945)","诸慧"
"调孚(1945)","调孚"
"谈兵(1945)","谈兵"
"谢尚光(1945)","谢尚光"
"谷荣(1945)","谷荣"
"贝塞尔(1945)","贝塞尔"
"费哲(1945)","费哲"
"贺湄(1945)","贺湄"
"辛海(1945)","辛海"
"辛笛(1945)","辛笛"
"迻山(1945)","迻山"
"退知(1945)","退知"
"邓初氏(1945)","邓初氏"
"邵冲霄(1945)","邵冲霄"
"邵力子(1945)","邵力子"
"邵嘉陵(1945)","邵嘉陵"
"郑光昭(1945)","郑光昭"
"郑初民(1945)","郑初民"
"郑独步(1945)","郑独步"
"郭沬若(1945)","郭沬若"
"金向凡(1945)","金向凡"
"钟宣(1945)","钟宣"
"钟百频(1945)","钟百频"
"钱端升(1945)","钱端升"
"铁僧(1945)","铁僧"
"闻一多(1945)","闻一多"
"闻家駰(1945)","闻家駰"
"闻家驷(1945)","闻家驷"
"闾方(1945)","闾方"
"阿凌(1945)","阿凌"
"阿希敦(1945)","阿希敦"
"阿特里(1945)","阿特里"
"陆平(1945)","陆平"
"陆诒(1945)","陆诒"
"陆青(1945)","陆青"
"陈亦丹(1945)","陈亦丹"
"陈元良(1945)","陈元良"
"陈兆珂(1945)","陈兆珂"
"陈家康(1945)","陈家康"
"陈封雄(1945)","陈封雄"
"陈尚藩(1945)","陈尚藩"
"陈志忠(1945)","陈志忠"
"陈时臬(1945)","陈时臬"
"陈明文(1945)","陈明文"
"陈烟桥刻(1945)","陈烟桥刻"
"陈翰伯(1945)","陈翰伯"
"陈范(1945)","陈范"
"陈菊珍(1945)","陈菊珍"
"陈轲(1945)","陈轲"
"陈辛(1945)","陈辛"
"隐民(1945)","隐民"
"雨生(1945)","雨生"
"雷诺斯(1945)","雷诺斯"
"雷铭(1945)","雷铭"
"青蛉(1945)","青蛉"
"韦康(1945)","韦康"
"顿风(1945)","顿风"
"颂俞华(1945)","颂俞华"
"马义(1945)","马义"
"马代(1945)","马代"
"马寅初(1945)","马寅初"
"马戈(1945)","马戈"
"马星野(1945)","马星野"
"马歇尔(1945)","马歇尔"
