Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
成绩(1945),成绩,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
成长(1945),成长,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
我国(1945),我国,notion,0,1,1,0,2,2,0.026572,4,0.290168,0.319276,0
戒惧(1945),戒惧,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
战争(1945),战争,notion,0,3,3,0,5,5,0.066131,4,0.356437,0.399773,3390.45624
战争罪犯(1945),战争罪犯,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
战事(1945),战事,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
战区(1945),战区,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
战地(1945),战地,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
战场(1945),战场,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
战士(1945),战士,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
战斗(1945),战斗,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
战时(1945),战时,notion,0,1,1,0,2,2,0.026262,4,0.28927,0.317939,0
战术(1945),战术,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
战死(1945),战死,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
战火(1945),战火,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
战略(1945),战略,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
战略方针(1945),战略方针,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
战祸(1945),战祸,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
所感(1945),所感,notion,0,2,2,0,2,2,0.057746,4,0.343463,0.386323,1648.386736
所要(1945),所要,notion,0,1,1,0,1,1,0.006694,4,0.258775,0.267015,0
所见(1945),所见,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
所议(1945),所议,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
所说(1945),所说,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
所谓(1945),所谓,notion,0,2,2,0,3,3,0.04382,4,0.314959,0.353387,954.027702
所选(1945),所选,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
所闻(1945),所闻,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
手工业(1945),手工业,notion,0,2,2,0,2,2,0.033267,4,0.297728,0.330416,532.944516
手法(1945),手法,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
才能(1945),才能,notion,0,1,1,0,1,1,0.008386,4,0.261871,0.272727,0
打事(1945),打事,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
打开(1945),打开,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
打破(1945),打破,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
打败(1945),打败,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
执法(1945),执法,notion,0,1,1,0,1,1,0.017046,4,0.27511,0.295698,0
扩大(1945),扩大,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
扫除(1945),扫除,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
批评(1945),批评,notion,0,1,1,0,1,1,0.017558,4,0.276219,0.297521,0
技俩(1945),技俩,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
技术(1945),技术,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
技矣(1945),技矣,notion,0,1,1,0,1,1,0.026262,4,0.28927,0.317939,0
抉择(1945),抉择,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
把戏(1945),把戏,notion,0,1,1,0,1,1,0.031173,4,0.298246,0.330943,0
把握(1945),把握,notion,0,1,1,0,1,1,0.026572,4,0.290168,0.319276,0
