Id,Label,timeset,type,color,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
丁正伟(1949),丁正伟,,author,"#B4B4B4",0,1,1,0,1,1,0.004437,2,0.529412,0.555556,0
万异(1949),万异,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
万殊(1949),万殊,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
丘克辉(1949),丘克辉,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
严学易(1949),严学易,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
之谷(1949),之谷,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
习门(1949),习门,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
了然(1949),了然,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
于辅大(1949),于辅大,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
云应霖(1949),云应霖,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
人立(1949),人立,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
今吾(1949),今吾,,author,"#B4B4B4",0,1,1,0,1,1,0.004016,2,0.533333,0.5625,0
何友悌(1949),何友悌,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
何旭(1949),何旭,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
何矩(1949),何矩,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
余园(1949),余园,,author,"#B4B4B4",0,1,1,0,1,1,0.006221,2,0.52,0.538462,0
傅啓民(1949),傅啓民,,author,"#B4B4B4",0,1,1,0,1,1,0.004437,2,0.529412,0.555556,0
光华(1949),光华,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
冯契(1949),冯契,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
冯素陶(1949),冯素陶,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
刘伯陶(1949),刘伯陶,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
刘士伟(1949),刘士伟,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
千家驹(1949),千家驹,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
华辰(1949),华辰,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
南人(1949),南人,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
卜一(1949),卜一,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
卢于道(1949),卢于道,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
卢心远(1949),卢心远,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
卢蕾谷(1949),卢蕾谷,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
可扬(1949),可扬,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
史靖(1949),史靖,,author,"#B4B4B4",0,1,1,0,1,1,0.004016,2,0.533333,0.5625,0
叶健铁(1949),叶健铁,,author,"#B4B4B4",0,1,1,0,1,1,0.004016,2,0.533333,0.5625,0
叶成林(1949),叶成林,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
吕飞(1949),吕飞,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
吴四维(1949),吴四维,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
吴大琨(1949),吴大琨,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
吴方高(1949),吴方高,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
吴明(1949),吴明,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
吴明石(1949),吴明石,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
周伯棣(1949),周伯棣,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
周新民(1949),周新民,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
周谷城(1949),周谷城,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
夏康农(1949),夏康农,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
夏炎德(1949),夏炎德,,author,"#B4B4B4",0,2,2,0,2,2,0.128198,4,0.41688,0.454499,355.367424
奚永伟(1949),奚永伟,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
子冈(1949),子冈,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
孙冰如(1949),孙冰如,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
孙执中(1949),孙执中,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
孟南(1949),孟南,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
季羡林(1949),季羡林,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
学尧(1949),学尧,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
宋越伦(1949),宋越伦,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
寿秋情(1949),寿秋情,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
封淑(1949),封淑,,author,"#B4B4B4",0,1,1,0,1,1,0.004016,2,0.533333,0.5625,0
小泉(1949),小泉,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
小鱼(1949),小鱼,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
岁奇(1949),岁奇,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
庄嘉农(1949),庄嘉农,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
府师(1949),府师,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
康遂(1949),康遂,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
张敬亭(1949),张敬亭,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
张文琦(1949),张文琦,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
张明养(1949),张明养,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
张殊明(1949),张殊明,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
张江帆(1949),张江帆,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
彝瀛(1949),彝瀛,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
徐革陈(1949),徐革陈,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
德明(1949),德明,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
戎文佐(1949),戎文佐,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
成纪(1949),成纪,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
扬群(1949),扬群,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
文骊(1949),文骊,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
方淳(1949),方淳,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
星覆(1949),星覆,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
春畦(1949),春畦,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
曹锡珍(1949),曹锡珍,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
曾伟(1949),曾伟,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
曾昭抡(1949),曾昭抡,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
朝月(1949),朝月,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
木枫(1949),木枫,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
未明(1949),未明,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
本初(1949),本初,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
朱启贤(1949),朱启贤,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
朱绍文(1949),朱绍文,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
李一民(1949),李一民,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
李世浩(1949),李世浩,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
李中严(1949),李中严,,author,"#B4B4B4",0,1,1,0,1,1,0.004437,2,0.529412,0.555556,0
李乡樸(1949),李乡樸,,author,"#B4B4B4",0,1,1,0,1,1,0.02879,4,0.285464,0.313906,0
李伯球(1949),李伯球,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
李宗瀛(1949),李宗瀛,,author,"#B4B4B4",0,1,1,0,1,1,0.099409,4,0.358242,0.402863,0
李显仁(1949),李显仁,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
李树动(1949),李树动,,author,"#B4B4B4",0,1,1,0,1,1,0.004437,2,0.529412,0.555556,0
李桦(1949),李桦,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
李梅(1949),李梅,,author,"#B4B4B4",0,1,1,0,1,1,0.023344,4,0.283478,0.310838,0
李相符(1949),李相符,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
李维林(1949),李维林,,author,"#B4B4B4",0,1,1,0,1,1,0.004437,2,0.529412,0.555556,0
李辉(1949),李辉,,author,"#B4B4B4",0,1,1,0,1,1,0.044026,2,0.504065,0.508065,0
