Id,Label,timeset,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
出版法 (n),出版法,,notion,2,0,2,2,0,2,0.004579,10,0.211709,0.2249,781.52551
半年 (n),半年,,notion,4,0,4,4,0,4,0.005146,10,0.208402,0.221783,17372.341851
向前 (n),向前,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
如火 (n),如火,,notion,1,0,1,2,0,2,0.003443,10,0.20554,0.218204,0
封及 (n),封及,,notion,1,0,1,2,0,2,0.003443,10,0.20554,0.218204,0
应对 (n),应对,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
开除 (n),开除,,notion,2,0,2,2,0,2,0.003931,10,0.205602,0.218466,21652
忍耐 (n),忍耐,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
文汇 (n),文汇,,notion,1,0,1,2,0,2,0.003443,10,0.20554,0.218204,0
新民 (n),新民,,notion,1,0,1,2,0,2,0.003443,10,0.20554,0.218204,0
施用 (n),施用,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
正在 (n),正在,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
沉着 (n),沉着,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
浮动 (n),浮动,,notion,1,0,1,2,0,2,0.003443,10,0.20554,0.218204,0
白报纸 (n),白报纸,,notion,2,0,2,2,0,2,0.003871,10,0.205571,0.218374,10830
立特 (n),立特,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
第二卷 (n),第二卷,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
草案 (n),草案,,notion,3,0,3,3,0,3,0.005222,10,0.212891,0.226443,1889.904563
表明态度 (n),表明态度,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
访华 (n),访华,,notion,3,0,3,3,0,3,0.006217,10,0.215568,0.229573,1800.076797
评蒲 (n),评蒲,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
起义 (n),起义,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
辛勤 (n),辛勤,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
采取 (n),采取,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
闷药 (n),闷药,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
风险 (n),风险,,notion,1,0,1,1,0,1,0.003443,10,0.20554,0.218204,0
元方(1947),元方,,author,0,4,4,0,4,4,0.005901,10,0.214305,0.228486,10697.790719
公费 (n),公费,,notion,3,0,3,3,0,3,0.001581,11,0.176662,0.184511,10839.875115
元白(1947),元白,,author,0,2,2,0,2,2,0.001045,11,0.177044,0.184533,5416
临时政府 (n),临时政府,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
吕运亨 (n),吕运亨,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
殉国 (n),殉国,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
民主派 (n),民主派,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
民治 (n),民治,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
洪门 (n),洪门,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
牛泰真 (n),牛泰真,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
痛切 (n),痛切,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
缅甸 (n),缅甸,,notion,5,0,5,5,0,5,0.011491,10,0.225174,0.241033,8023.031258
营救 (n),营救,,notion,2,0,2,2,0,2,0.003492,10,0.205462,0.217474,788.39927
记者会 (n),记者会,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
谈国 (n),谈国,,notion,1,0,1,1,0,1,0.002259,10,0.195426,0.20612,0
全慰天(1947),全慰天,,author,0,2,2,0,2,2,0.002304,10,0.207001,0.218854,5416
记陈达 (n),记陈达,,notion,1,0,1,1,0,1,0.000462,11,0.171505,0.178007,0
公诚(1947),公诚,,author,0,4,4,0,4,4,0.002096,10,0.178255,0.18629,6762.577375
变动 (n),变动,,notion,3,0,3,3,0,3,0.002821,11,0.198389,0.209289,4259.191634
社会阶层 (n),社会阶层,,notion,1,0,1,1,0,1,0.000501,11,0.151292,0.156013,0
关外月(1947),关外月,,author,0,2,2,0,2,2,0.000791,1,1,1,1
可耻 (n),可耻,,notion,1,0,1,1,0,1,0.000424,2,0.666667,0.75,0
同意 (n),同意,,notion,1,0,1,1,0,1,0.000424,2,0.666667,0.75,0
关夫(1947),关夫,,author,0,3,3,0,3,3,0.004951,10,0.215894,0.229922,800.846992
关怀(1947),关怀,,author,0,6,6,0,6,6,0.002746,11,0.183633,0.192009,16776.394185
密云 (n),密云,,notion,2,0,2,2,0,2,0.004094,10,0.196119,0.208404,4831.132568
小纪 (n),小纪,,notion,1,0,1,1,0,1,0.000555,12,0.155148,0.159994,0
风习 (n),风习,,notion,1,0,1,1,0,1,0.000555,12,0.155148,0.159994,0
柴可夫斯基 (n),柴可夫斯基,,notion,1,0,1,1,0,1,0.000517,12,0.130956,0.134191,0
演奏会 (n),演奏会,,notion,1,0,1,1,0,1,0.000517,12,0.130956,0.134191,0
冯亦代(1947),冯亦代,,author,0,5,5,0,5,5,0.002028,14,0.115795,0.118557,21658
勇敢 (n),勇敢,,notion,2,0,2,2,0,2,0.000974,13,0.130931,0.134347,27060
年青人 (n),年青人,,notion,1,0,1,1,0,1,0.000516,15,0.10378,0.105601,0
爱莲 (n),爱莲,,notion,1,0,1,1,0,1,0.000516,15,0.10378,0.105601,0
