Id,Label,type,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
广告(1947),广告,notion,0,2,2,0,4,4,0.01778,4,0.280866,0.304978,1353.416142
广大(1947),广大,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
广孝(1947),广孝,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
广宁(1947),广宁,notion,0,1,1,0,3,3,0.011229,4,0.270366,0.287632,0
广播(1947),广播,notion,0,3,3,0,7,7,0.032633,4,0.306432,0.342171,2472.136099
广泛(1947),广泛,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
广济(1947),广济,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
广西大学(1947),广西大学,notion,0,2,2,0,2,2,0.02494,4,0.292941,0.323324,1747.290038
庄严(1947),庄严,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
庄启锡(1947),庄启锡,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
庆祝(1947),庆祝,notion,0,2,2,0,2,2,0.032055,4,0.30624,0.341853,2215.722594
庆祝会(1947),庆祝会,notion,0,1,1,0,2,2,0.014222,4,0.275404,0.296091,0
庆祝大会(1947),庆祝大会,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
庇护(1947),庇护,notion,0,1,1,0,1,1,0.003699,4,0.256009,0.261706,0
库洛夫(1947),库洛夫,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
应使(1947),应使,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
应即(1947),应即,notion,0,1,1,0,1,1,0.004749,4,0.257108,0.263793,0
应否(1947),应否,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
应对(1947),应对,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
应当(1947),应当,notion,0,2,2,0,2,2,0.021502,4,0.288388,0.316586,2245.621531
应循(1947),应循,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
应有(1947),应有,notion,0,6,6,0,13,13,0.071367,4,0.377704,0.419328,26400.306193
应由(1947),应由,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
应立即(1947),应立即,notion,0,1,1,0,1,1,0.002092,4,0.25318,0.25625,0
应该(1947),应该,notion,0,9,9,0,18,18,0.084392,4,0.397265,0.435806,45377.798929
应重(1947),应重,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
底新(1947),底新,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
废止(1947),废止,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
废票(1947),废票,notion,0,1,1,0,1,1,0.014732,4,0.276453,0.297813,0
座谈(1947),座谈,notion,0,2,2,0,2,2,0.024745,4,0.295069,0.3264,2684.608967
座谈会(1947),座谈会,notion,0,2,2,0,4,4,0.028552,4,0.301506,0.335445,2588.539662
庵谭(1947),庵谭,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
庶几(1947),庶几,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
康定(1947),康定,notion,0,1,1,0,1,1,0.014081,4,0.275493,0.296238,0
廉价(1947),廉价,notion,0,1,1,0,1,1,0.013711,4,0.275027,0.295469,0
延安(1947),延安,notion,0,4,4,0,10,10,0.048056,4,0.332424,0.374127,11195.206897
延期(1947),延期,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
延辉(1947),延辉,notion,0,1,1,0,1,1,0.017323,4,0.281723,0.306272,0
建军(1947),建军,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
建农(1947),建农,notion,0,1,1,0,1,1,0.007422,4,0.26356,0.275695,0
建国(1947),建国,notion,0,4,4,0,6,6,0.052584,4,0.34291,0.385626,12502.904696
建省(1947),建省,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
建立(1947),建立,notion,0,3,3,0,6,6,0.038112,4,0.315379,0.353742,5778.22737
建筑(1947),建筑,notion,0,2,2,0,2,2,0.024032,4,0.290894,0.320321,1695.498775
建置(1947),建置,notion,0,1,1,0,3,3,0.007422,4,0.26356,0.275695,0
建议案(1947),建议案,notion,0,1,1,0,1,1,0.009035,4,0.265075,0.278404,0
建都(1947),建都,notion,0,2,2,0,2,2,0.018845,4,0.280243,0.303989,1083.402703
廿七(1947),廿七,notion,0,1,1,0,1,1,0.011229,4,0.270366,0.287632,0
廿三(1947),廿三,notion,0,1,1,0,1,1,0.00981,4,0.267191,0.28214,0
廿二(1947),廿二,notion,0,2,2,0,2,2,0.023521,4,0.291018,0.320504,1911.402908
廿五(1947),廿五,notion,0,1,1,0,1,1,0.014222,4,0.275404,0.296091,0
